ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
27,1,battery,7958.927688352103,0.0,7958.927688352103
40,2,battery,0.0,0.0,0.0
54,3,battery,1707.9947423659437,0.0,1707.9947423659437
