ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
27,1,battery,42509.45714795985,0.0,42509.45714795985
40,2,battery,194153.7155734914,0.0,194153.7155734914
54,3,battery,2507.472775769912,0.0,2507.472775769912
