ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
27,1,battery,54506.504201026095,0.0,54506.504201026095
40,2,battery,203318.34043371608,0.0,203318.34043371608
54,3,battery,31506.84026517081,0.0,31506.84026517081
