Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1.0,1.0,603.0,0.0,0.0,0.0
1.0,2.0,603.0,7392.195944088915,13313.059342811412,0.0029271711290428464
1.0,3.0,603.0,1583.5729424856527,11085.010597399569,0.002437285236271605
2.0,1.0,603.0,0.0,0.0,0.0
2.0,2.0,603.0,6042.525,274682.79227208975,0.06039509916388153
2.0,3.0,603.0,379.8,29663.296327226668,0.006522133069900686
