ID,Zone,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
27,1,battery,54773.21881558269,0.0,54773.21881558269
40,2,battery,198689.02183472694,0.0,198689.02183472694
54,3,battery,19537.578047059214,0.0,19537.578047059214
